Species2,Common_name,Confirmed
Abantennarius sanguineus,"Ranisapo panza manchada, Ranisapo sangrón, Ranisapo sanguíneo",*
Ablennes hians,Agujón sable,*
Aboma etheostoma,"Gobio escamoso, Gobio líneas punteadas",*
Abudefduf declivifrons,"Petaca mexicana, Pintaño roquero",*
Abudefduf troschelii,"Pintaño amarillo, Petaca banderita, Petaca chopa",*
Acanthemblemaria balanorum,Trambollín-cirripedio espinudo,*
Acanthemblemaria crockeri,"Trambollín-cirripedio cachetón, Tubícola cachetón",*
Acanthemblemaria hastingsi,Tubícola Cortez,*
Acanthocybium solandri,"el Guajú, el Peto",*
Acanthurus achilles,"Navajón de Aquiles, Cirujano encendido",*
Acanthurus nigricans,"Cirujano borde dorado, Cirujano coliblanco",*
Acanthurus triostegus,"Cirujano convicto, Cirujano reo",*
Acanthurus xanthopterus,"Cirujano aleta amarilla, Navajón lancero",*
Achirus mazatlanus,"Suela arepita, Lenguado-redondo listado, el Tepalcate",*
Achirus scutum,"Suela alineada, Lenguado-redondo alineado, el Comal",*
Aetobatus laticeps,chucho pintado de California,*
Albula gilberti,Macabí de Cortés,*
Albula pacifica,Macabí de hebra del Pacífico,*
Alectis ciliaris,"Pámpano africano, Pámpano de hebra, Palometón ojo grande",*
Alepocephalus tenebrosus,cabeza-lisa californiana,*
Alloclinus holderi,Trambollo isleño,*
Alopias pelagicus,Tiburón zorro pelágico,*
Alopias superciliosus,Tiburón zorro ojón,*
Alopias vulpinus,"Tiburón zorro común, Tiburón zorro de cola delgada",*
Alphestes immaculatus,"Guaseta cherna, Guaseta del Pacífico Oriental",*
Alphestes multiguttatus,"Guaseta pimienta, Guaseta rayada",*
Aluterus monoceros,Lija barbuda,*
Aluterus scriptus,"Lija tildada, Lija trompa",*
Amblyraja hyperborea,Raya ártica,*
Ammodytoides gilli,"lanzón furtivo, Peón panámico, Lanceta plateada",*
Anarchias galapagensis,"Morena cola dura, Morena menuda",*
Anchoa analis,Anchoa aletona del Pacífico,*
Anchoa argentivittata,"Anchoa de Regan, Anchoa plateada",*
Anchoa curta,"Anchoa chaparra, Anchoa corta",*
Anchoa exigua,"Anchoa exigua, Anchoa fina",*
Anchoa helleri,"Anchoa de Heller, Anchoa del Golfo",*
Anchoa ischana,"Anchoa chicotera, Anchoa trompa aguda",*
Anchoa lucida,"Anchoa bocona, Anchoa ojitos",*
Anchoa mundeola,"Anchoa falsa de Panamá, Anchoa panameña falsa",*
Anchoa mundeoloides,Anchoa golfina,*
Anchoa nasus,Anchoa trompuda,*
Anchoa scofieldi,"Anchoa amarilla, Anchoa de Scofield",*
Anchoa walkeri,"Anchoa de Walker, Anchoa persistente",*
Anchovia macrolepidota,"Anchoa escamas grandes, Anchoveta escamuda",*
Ancylopsetta dendritica,Lenguado tres ojos,*
Anisotremus caesius,"Burro fríjol, Burro mojarra, Burro roncador",*
Anisotremus davidsonii,"Burro piedrero, Sargo rayado",*
Anisotremus interruptus,"Burro bacoco, Vieja ñata, Burro ñato",*
Anisotremus taeniatus,Burro bandera,*
Antennatus strigatus,"Ranisapo jorobado, Ranisapo rabo listado",*
Antimora microlepis,mollera viola,*
Apogon atricaudus,"Cardenal de Revillagigedo, Cardenal sencillo",*
Apogon pacificus,"Cardenal morro listado, Cardenal ojiamarillo, Cardenal rosado",*
Apogon retrosella,"Cardenal de Cortés, Cardenal herido",*
Apristurus kampae,pejegato trompudo,*
Apterichtus equatorialis,"Tieso blanco, Tieso ecuatorial, Tieso sin aletas",*
Arcos erythrops,"Chupapiedra de cantil, Chalaco mejicano",*
Argentina sialis,"Argentina del Pacífico, Argentina del Pacífico Septentrional",*
Ariopsis gilberti,bagre de Cortés,*
Ariopsis guatemalensis,"Cominata azulada, bagre cuatete",*
Ariosoma hemiaspidus,Congrio narigón,*
Arothron hispidus,"Tamboril hawaiano, Botete panza rayada, Botete pintado, Tamboril verde",*
Arothron meleagris,"Botete aletas punteadas, Tamboril de oro, Pez-globo negro, Tamboril negro",*
Aruma histrio,"Gobio lento, Gobio moroso",*
Aseraggodes herrei,"Suela de Herre, Sol reticulado",*
Astroscopus zephyreus,"Miraestrella perro, Miracielo tranquilo",*
Atherinella crystallina,Plateadito del presidio,*
Atherinella eriarcha,Pejerrey plateado,*
Atherinella nepenthe,"Plateadito marino, Pejerrey nepenthe",*
Atherinops affinis,Pejerrey pescadillo,*
Atherinopsis californiensis,Pejerrey mocho,*
Atractoscion nobilis,"Corvinata bronzeada, Corvina cabaicucho",*
Aulopus bajacali,Lagarto del Pacífico oriental,*
Aulostomus chinensis,"Trompetero chino, Pez-trompeta del Pacífico",*
Auxis brachydorax,"Barrilete fragata, la Melva",*
Auxis eudorax,Barrilete melvera,*
Awaous transandeanus,Gobio reticulado,*
Axoclinus nigricaudus,Tres aletas cola negra,*
Axoclinus storeyae,Tres aletas carmín,*
Azurina atrilobata,"Castañeta cola de tijera, Castañeta conguita, Castañuela conguita",*
Bagre panamensis,"bagre chihuil, Cuminate chihuil",*
Bagre pinnimaculatus,"Cuminate alguacil, bagre barbón, Cuminate rojo, Cuminate volador",*
Bairdiella armata,Cholesca armada,*
Bairdiella icistia,"Ronco roncacho, Corvineta ronco",*
Bajacalifornia burragei,cabeza-lisa de mentón agudo,*
Baldwinella eos,Serrano ojón,*
Balistes polylepis,"Pejepuerco coche, el Cochi, Chancho pardo",*
Barbulifer mexicanus,"Gobio alambrón, Gobio-barbudo de Mejico, Gobio-barbudo rayado",*
Barbulifer pantherinus,Gobio-barbudo pantera,*
Bascanichthys panamensis,Tieso Panámico,*
Bathycongrus macrurus,Congrio de cabeza corta,*
Bathycongrus varidens,Congrio de cabeza larga,*
Bathygobius ramosus,"Mapo de pozo, Mapo panámico",*
Bathyraja abyssicola,raya-negra de profundidad,*
Bathyraja microtrachys,Raya de espinas finas,*
Bathyraja spinosissima,raya-blanca pacífica,*
Bathyraja trachura,Raya cola-espinosa,*
Bellator gymnostethus,Cabrilla enana,*
Bellator loxias,Rubio angelito,*
Bellator xenisma,"Vaca doble hocico, Cabrilla vaquita",*
Beringraja binoculata,Raya grande,*
Bodianus diplotaenia,"Vieja de piedra, Vieja mexicana",*
Bodianus pulcher,Vieja de California,*
Bollmannia macropoma,"Gobio ojos grandes, Gobio pedernal",*
Bollmannia marginalis,"Gobio margen manchado, Gobio sellado",*
Bollmannia ocellata,"Gobio ocelado, Gobio penacho",*
Bollmannia stigmatura,Gobio cola manchada,*
Bollmannia umbrosa,"Gobio labio negro, Gobio prieto",*
Bothus leopardinus,Lenguado leopardo del Pacífico,*
Brachygenys californiensis,"Salema pajarilla, la Salema",*
Bregmaceros bathymaster,"Bacalete del Pacífico oriental, Merlucita del Pacífico Oriental",*
Brockius striatus,"Trambollo listado, Trambollo verde",*
Brotula clarkae,Lengua rosada,*
Calamus brachysomus,"Sargo chaveco, Sargo del norte, pluma marotilla",*
Caliraja cortezensis,Raya de Cortés,*
Caliraja inornata,Raya de California,*
Caliraja rhina,Raya narigona,*
Callechelys cliffi,"Tieso-vela aquillado, Tieso aquillado arenero, Tieso-vela punteado",*
Callechelys eristigma,Tieso-vela aquillado de manchas,*
Calotomus carolinus,Pococho perico,*
Cantherhines dumerilii,"Cachúa blanca nieves, Lija coliamarilla, Lija vagabunda",*
Canthidermis maculata,"Calafate áspero, Chancho manchado, Cochito manchado, Gatillo manchado",*
Canthigaster punctatissima,"Botete bonito, Tamboril bonito, Botete enano",*
Caranx caballus,"Jurel bonito, Jurel cojinua",*
Caranx caninus,Jurel toro,*
Caranx lugubris,Jurel negro,*
Caranx melampygus,"Jurel aleta azul, Jurel azul",*
